task_name;unique_task_name
АКЗ металлоконструкций;АКЗ металлоконструкций
АКЗ трубопроводов;АКЗ трубопроводов
Бурение лидерных скважин;Бурение лидерных скважин
Испытания трубопроводов;Испытания трубопроводов
Монтаж блока переключателя скважин многоходового;Монтаж блока переключателя скважин многоходового
Монтаж блок-бокса;Монтаж блок-бокса
Монтаж ёмкости;Монтаж емкости
Монтаж ЗРА;Монтаж ЗРА
Монтаж измерительной установки;Монтаж измерительной установки
Монтаж кабельных лотков;Монтаж кабельных лотков
Монтаж кабельных муфт;Монтаж кабельных муфт
Монтаж кабельных полок;Монтаж кабельных полок
Монтаж кабельных стоек;Монтаж кабельных стоек
Монтаж кабеля АСУТП;Монтаж кабеля АСУТП
Монтаж кабеля ОПС;Монтаж кабеля ОПС
Монтаж комплектующих мачты прожекторной;Монтаж комплектующих мачты прожекторной
Монтаж лестниц, ограждений, площадок;Монтаж лестниц, ограждений, площадок
Монтаж марок ГТМ;Монтаж марок ГТМ
Монтаж мачты прожекторной;Монтаж мачты прожекторной
Монтаж металлоконструкций основания;Монтаж металлоконструкций основания
Монтаж настила;Монтаж настила
Монтаж оголовников;Монтаж оголовников
Монтаж приборов КИПиА;Монтаж приборов КИПиА
Монтаж ригелей;Монтаж ригелей
Монтаж ростверков и опорных конструкций под порталы, опоры ВЛ;Монтаж ростверков и опорных конструкций под порталы
Монтаж силового кабеля;Монтаж силового кабеля
Монтаж стоек;Монтаж стоек ограждения
Монтаж траверс;Монтаж траверс
Монтаж трубопроводов с установкой фасонины;Монтаж трубопроводов с установкой фасонины
Обратная засыпка грунта;Обратная засыпка грунта
Подвеска грозозащитного троса;Подвеска грозозащитного троса
Подвеска провода;Подвеска провода
Разработка грунта под емкость;Разработка грунта под емкость
Сборка опор/порталов;Сборка опор и порталов
Теплоизоляция трубопроводов;Теплоизоляция трубопроводов
Укладка активного соляного заземления;Укладка активного соляного заземления
Установка в скважины свай;Установка в скважины свай
Установка опор/порталов;Установка опор и порталов
Укладка полосового заземления;Укладка полосового заземления